name
I."ENST00000498666";21_46323280_46323450-242=171=181//P05107
I."ENST00000555552";14_74422154_74422212-135=59=124//Q9Y2Z9
I."ENST00000504952";4_71891533_71891648-148=116=91//P27707
I."ENST00000508952";4_20709426_20709493-155=68=135//Q8N7B6
I."ENST00000480212";2_160637946_160638043-117=98=111//Q8IX05
I."ENST00000532741";8_144668389_144668460-100=72=124//P29692
I."ENST00000433154";16_66802007_66802071-96=65=347//Q8NA31
I."ENST00000432602";16_66809021_66809146-161=126=132//Q8NA31
I."ENST00000359763";X_18822010_18822195-153=186=143//O14829
I."ENST00000491504";1_201331514_201331522-110=9=111//P45379
I."ENST00000439727";14_31771501_31771725-155=225=273//Q86XA9
I."ENST00000518642";8_133627284_133627343-70=60=78//Q86X45
I."ENST00000372857";1_40029508_40029594-128=87=72//Q13310
I."ENST00000427316";4_106879628_106879714-396=87=99//Q6UXI9
I."ENST00000571007";16_3017527_3017605-126=79=570//Q8NCW0
I."ENST00000585171";17_15603587_15603680-121=94=89//Q9HBT8
I."ENST00000413242";17_15619373_15620627-93=1255=141//Q9HBT8
I."ENST00000527458";11_74315737_74315839-56=103=40//Q15054
I."ENST00000378784";13_46919582_46919735-91=154=62//Q9H714
I."ENST00000216481";14_77950666_77950908-346=243=243//Q6H9L7
I."ENST00000349350";7_100391442_100391640-75=199=139//Q9Y493
I."ENST00000433404";19_5641751_5641957-65=207=63//Q5R452
I."ENST00000376279";13_100755137_100755214-211=78=48//P05165
I."ENST00000376286";13_101167681_101167821-54=141=78//P05165
I."ENST00000295488";4_84364670_84364767-99=98=73//Q8TDG4
I."ENST00000471919";6_116977847_116978015-189=169=122//Q96AP4
I."ENST00000521743";6_84324576_84324581-28=6=71//Q61548
I."ENST00000424767";16_24881222_24881326-72=105=60//Q8WWX8
I."ENST00000518005";16_55883536_55883685-73=150=148//Q6NT32
I."ENST00000448553";15_44089339_44089554-96=216=94//A6NH21
I."ENST00000319327";15_44089343_44089554-96=212=94//A6NH21
I."ENST00000382977";13_20041365_20041484-100=120=162//Q6XPS3
I."ENST00000552374";12_112374496_112374634-145=139=84//Q8NCL8
I."ENST00000571319";17_52981069_52981153-71=85=150//O75674
I."ENST00000536554";17_52992000_52992104-126=105=117//O75674
I."ENST00000373784";10_64425889_64425962-91=74=168//Q70YC4
I."ENST00000330891";12_70070696_70070848-81=153=78//Q8N1M1
I."ENST00000439889";19_51918078_51918362-94=285=258//Q96LC7
I."ENST00000443896";2_209141436_209141554-150=119=208//Q9Y2I7
I."ENST00000507039";4_3465233_3465278-119=46=231//Q18PE1
I."ENST00000357033";X_31196049_31196087-66=39=137//Q5GN48
I."ENST00000538295";X_38037538_38037597-192=60=229//P78539
I."ENST00000294984";1_207072665_207072860-146=196=63//Q13007
I."ENST00000367093";1_207072662_207072860-146=199=63//Q13007
I."ENST00000367095";1_207074839_207074997-63=159=75//Q13007
I."ENST00000355305";1_172062836_172062865-52=30=114//Q9UQ16
I."ENST00000543458";20_44050023_44050223-166=201=166//Q969N2
I."ENST00000504933";4_2986240_2986335-302=96=113//P32298
I."ENST00000345167";4_3040103_3040240-138=138=176//P32298
I."ENST00000405097";11_110135504_110135599-275=96=84//P26044
I."ENST00000567974";15_72541586_72541655-80=70=73//Q5RDU4
I."ENST00000552421";14_75283274_75283393-63=120=177//P49750
I."ENST00000378555";7_131194995_131195090-221=96=606//O00592
I."ENST00000256324";14_91671050_91671169-149=120=152//Q7Z3D6
I."ENST00000369708";10_106039128_106039229-223=102=107//Q9H4Y5
I."ENST00000370576";X_138713554_138713670-150=117=120//P10911
I."ENST00000543523";12_15818690_15818826-74=137=83//Q12929
I."ENST00000512970";15_42105819_42105979-183=161=147//Q6NS57
I."ENST00000511363";5_50117047_50117172-93=126=66//Q3UD82
I."ENST00000579184";17_62078444_62078670-107=227=71//P0C7W0
I."ENST00000524396";9_220748_220863-165=116=103//Q5T8R8
I."ENST00000307431";16_76483612_76483755-185=144=262//Q9C0A0
I."ENST00000409460";2_98804438_98804592-197=155=139//Q502W6
I."ENST00000340930";8_141889570_141889736-88=167=227//Q05397
I."ENST00000523539";8_141772467_141772487-98=21=57//P34152
I."ENST00000472422";1_110921475_110921978-212=504=162//O15374
I."ENST00000369781";1_110924274_110924417-162=144=133//O15374
I."ENST00000369781";1_110925456_110925588-144=133=119//O15374
I."ENST00000465100";12_10279639_10279688-138=50=99//Q9BXN2
I."ENST00000426369";2_132254783_132254866-65=84=87//Q9NXE4
I."ENST00000393862";X_152711057_152711102-745=46=116//Q9BQ50
I."ENST00000393862";X_152711057_152711102-745=46=116//Q9BQ50
I."ENST00000330912";X_152711467_152711569-745=103=162//Q9BQ50
I."ENST00000349460";1_29435848_29435949-129=102=81//P11171
I."ENST00000383766";3_29985698_29985745-111=48=81//Q5RBD3
I."ENST00000273139";3_29941196_29941246-97=51=111//Q5RBD3
I."ENST00000360823";9_73426086_73426160-175=75=172//Q9HCF6
I."ENST00000377110";9_73236160_73236189-290=30=141//Q9HCF6
I."ENST00000589474";19_38905488_38905763-81=276=117//Q8TDF6
I."ENST00000293062";19_38905488_38905763-81=276=154//Q8TDF6
I."ENST00000445513";7_151082174_151082309-104=136=421//Q86TI4
I."ENST00000573539";17_3442863_3442939-141=77=177//Q8NET8
I."ENST00000330149";14_39623415_39623498-94=84=118//Q86SZ2
I."ENST00000575135";16_10868809_10868953-90=145=80//A6NH52
I."ENST00000411936";11_93435942_93436085-178=144=153//Q9C0D2
I."ENST00000315987";1_112321058_112321114-248=57=90//Q9UK17
I."ENST00000450619";7_89983772_89983863-194=92=145//A4D1E9
I."ENST00000450619";7_89984400_89984544-92=145=74//A4D1E9
I."ENST00000389863";21_46604389_46604508-149=120=169//P78563
I."ENST00000389863";21_46595645_46596579-75=935=115//P78563
I."ENST00000471271";2_203807463_203807690-121=228=121//Q8N187
I."ENST00000343300";19_52033691_52033738-258=48=279//O43699
I."ENST00000341276";10_118633587_118633712-168=126=196//A6NNW6
I."ENST00000545100";19_11537503_11537604-126=102=168//A5D8V7
I."ENST00000545100";19_11541519_11541596-168=78=122//A5D8V7
I."ENST00000559014";15_45413285_45413419-214=135=58//Q1HG43
I."ENST00000431520";2_213881647_213881768-144=122=77//Q9UKS7
I."ENST00000413091";2_213886368_213886444-144=77=138//Q9UKS7
I."ENST00000374327";2_213878515_213878658-725=144=138//Q9UKS7
I."ENST00000495776";1_52221992_52222030-51=39=91//Q5R9W4
I."ENST00000447887";1_52135106_52135184-51=79=77//A2A8Z1
I."ENST00000368952";6_109771503_109771760-116=258=101//Q8TDZ2
I."ENST00000563189";16_67399207_67399258-125=52=441//Q1X8D7
I."ENST00000563189";16_67410630_67410775-166=146=124//Q1X8D7
I."ENST00000567723";16_67396087_67396208-89=122=125//Q1X8D7
I."ENST00000443356";8_133048618_133048665-54=48=51//Q02509
I."ENST00000561839";16_19741752_19741816-173=65=130//Q8N0W5
I."ENST00000433597";16_19746675_19746772-130=98=53//Q8N0W5
I."ENST00000400107";22_42191415_42191546-107=132=113//Q5TIA1
I."ENST00000300398";22_42174712_42174816-166=105=111//Q5TIA1
I."ENST00000485509";3_152150506_152150709-171=204=258//Q9NR56
I."ENST00000525284";15_101588699_101588862-172=164=140//Q38SD2
I."ENST00000524577";11_8934000_8934080-228=81=105//Q9NQ31
I."ENST00000263552";7_139529111_139529278-89=168=94//P24557
I."ENST00000367615";1_179526162_179526365-56=204=83//Q9NP85
I."ENST00000336909";5_55253037_55253119-211=83=160//P40189
I."ENST00000277141";9_88924378_88924491-78=114=90//Q5VYS8
I."ENST00000277141";9_88941286_88941406-181=121=153//Q5VYS8
I."ENST00000457188";16_66603839_66603997-202=159=99//Q8IZ96
I."ENST00000377853";9_36923352_36923481-102=130=176//Q02548
I."ENST00000377840";9_36882001_36882102-87=102=176//Q02650
I."ENST00000437082";3_10320348_10320444-184=97=150//Q93075
I."ENST00000393482";2_99636743_99636945-105=203=210//Q9BZW7
I."ENST00000393482";2_99651693_99651902-203=210=186//Q9BZW7
I."ENST00000398978";10_71658453_71658518-57=66=108//Q5TAT6
I."ENST00000354547";10_71700744_71700779-81=36=54//Q5TAT6
I."ENST00000369878";10_104831531_104831596-94=66=185//Q9H8M5
I."ENST00000380712";X_11316223_11316264-48=42=42//Q861X8
I."ENST00000380714";X_11314899_11314946-66=48=42//Q99217
I."ENST00000348262";5_35086310_35086442-170=133=87//P16471
I."ENST00000257209";18_34238038_34238151-239=114=135//Q2V2M9
I."ENST00000350027";1_222757470_222757639-114=170=123//Q15573
I."ENST00000471616";4_159531785_159531837-72=53=72//Q5R5V8
I."ENST00000343542";4_159514553_159514651-138=99=106//Q9HBX9
I."ENST00000378875";19_36503923_36503991-61=69=79//Q3KRA9
I."ENST00000538587";18_31537290_31537481-114=192=180//O94818
I."ENST00000490483";19_36501796_36501967-117=172=61//Q3KRA9
I."ENST00000584516";17_73606981_73607040-94=60=58//Q96JP2
I."ENST00000269081";17_67189955_67190130-120=176=111//Q8WWZ4
I."ENST00000434570";22_20040960_20041074-120=115=71//Q6ICL3
I."ENST00000420290";22_20049053_20049206-71=154=105//Q6ICL3
I."ENST00000476065";1_110231670_110231751-65=82=101//P09488
I."ENST00000433722";12_30864673_30864716-64=44=101//Q6IMN6
I."ENST00000433722";12_30872013_30872159-169=147=105//Q6IMN6
I."ENST00000539376";9_108275880_108275912-130=33=98//Q8BYN5
I."ENST00000538354";12_3039414_3039511-141=98=204//O75386
I."ENST00000538354";12_3046797_3046895-115=99=172//O75386
I."ENST00000545331";12_3042584_3042696-204=113=115//O75386
I."ENST00000295952";3_57893611_57893733-60=123=75//Q14BN4
I."ENST00000367982";1_161206249_161206388-131=140=123//A2T7D9
I."ENST00000360948";15_88671942_88671965-65=24=297//Q5IFJ9
I."ENST00000357724";15_88428925_88428966-159=42=244//Q16288
I."ENST00000542053";9_95073428_95073541-123=114=1872//Q76FK4
I."ENST00000374859";6_32825040_32825171-68=132=130//P28065
I."ENST00000371018";1_67411833_67411978-25=146=162//Q5REE1
I."ENST00000396923";15_43856301_43856363-138=63=126//Q6PFW1
I."ENST00000542487";11_89075242_89075361-109=120=82//Q5R5C5
I."ENST00000417588";22_29099493_29099554-100=62=54//O96017
I."ENST00000433728";22_29115383_29115473-109=91=148//O96017
I."ENST00000455775";X_49114121_49114225-139=105=210//Q9BZS1
I."ENST00000557224";X_49111890_49111970-151=81=88//Q9BZS1
I."ENST00000336643";14_69908786_69908983-109=198=69//Q9NUM3
I."ENST00000375300";11_116731990_116732099-340=110=86//Q9Y2K2
I."ENST00000420031";1_16895568_16895731-52=164=52//Q3BBV0
I."ENST00000304283";16_4776980_4777178-122=199=172//Q6ZW76
I."ENST00000304283";16_4776660_4776781-82=122=199//Q6ZW76
I."ENST00000432893";17_18770595_18770647-151=53=67//O60256
I."ENST00000262345";1_67855712_67855811-91=100=1354//Q99665
I."ENST00000507556";4_76440643_76440742-48=100=208//Q8TBB0
I."ENST00000507556";4_76446946_76447071-208=126=101//Q8TBB0
I."ENST00000457854";19_13002930_13002992-144=63=171//Q92947
I."ENST00000589039";19_13002301_13002336-125=36=144//Q92947
I."ENST00000575903";17_7536070_7536277-137=208=169//P04278
I."ENST00000526592";11_111958581_111958697-61=117=145//O14521
I."ENST00000369325";6_91254271_91254351-65=81=130//O43318
I."ENST00000437147";X_70683674_70683773-178=100=184//P21675
I."ENST00000373775";X_70674857_70674862-117=6=126//P21675
I."ENST00000378258";10_14978537_14978592-102=56=60//Q5R6Z9
I."ENST00000378278";10_14991035_14991086-85=52=147//Q5R6Z9
I."ENST00000378255";10_14987434_14987564-85=131=52//Q5R6Z9
I."ENST00000517875";8_86041410_86041614-149=205=140//Q9C099
I."ENST00000343245";6_106756239_106756366-79=128=166//Q3MQ04
I."ENST00000371203";10_97599448_97599565-128=118=160//P49961
I."ENST00000398634";2_54561954_54562161-68=208=154//Q8N5S3
I."ENST00000295718";2_220164422_220164508-80=87=275//Q16849
I."ENST00000239440";5_141041610_141041822-106=213=164//Q8WWN8
I."ENST00000239859";13_36869915_36869994-111=80=115//A6NNP5
I."ENST00000536880";11_18467757_18467880-118=124=165//P07864
I."ENST00000452451";11_60777044_60777346-312=303=66//P30203
I."ENST00000526129";1_76194086_76194173-112=88=98//P11310
I."ENST00000534123";9_100076675_100076803-110=129=111//Q9P1Z9
I."ENST00000417570";19_14710843_14710994-96=152=110//Q6ZS10
I."ENST00000584968";15_25212176_25212387-96=212=151//Q9XS97
I."ENST00000416504";13_100515245_100515346-189=102=421//Q8N0X4
I."ENST00000454485";7_100490308_100490439-170=132=1069//P22303
I."ENST00000430554";7_100490329_100490439-125=111=1069//P22303
I."ENST00000440755";7_100488790_100488959-125=170=1069//P22303
I."ENST00000440755";7_100488790_100488959-125=170=1069//P22303
I."ENST00000409273";2_168099079_168108457-134=9379=134//A4UGR9
I."ENST00000223791";9_117130480_117130526-155=47=157//Q7Z591
I."ENST00000568331";15_42804031_42804101-70=71=42//O00161
I."ENST00000295566";1_155657862_155657992-41=131=71//Q9H869
I."ENST00000361831";1_155640111_155640255-151=145=172//Q3T8J9
I."ENST00000295566";1_155650207_155650247-104=41=131//Q9H869
I."ENST00000306312";7_103029776_103029871-107=96=78//Q9EPH0
I."ENST00000393730";7_103018893_103019000-201=108=93//P58743
I."ENST00000393730";7_103020927_103020996-93=70=107//P58743
I."ENST00000393730";7_103033366_103033513-114=148=83//P58743
I."ENST00000382680";Y_24034775_24034952-153=178=104//A6NEQ0
I."ENST00000552189";12_48482946_48483076-160=131=85//Q9P0U3
I."ENST00000405123";2_54035436_54035597-130=162=60//Q96DZ1
I."ENST00000378239";2_54041680_54041757-125=78=76//Q5R8S4
I."ENST00000413835";11_63675732_63675776-27=45=2143//Q7KZI7
I."ENST00000377809";11_63671458_63671619-98=162=258//Q7KZI7
I."ENST00000238671";14_75349294_75349327-101=34=49//P36957
I."ENST00000367154";1_205388358_205388480-479=123=120//Q68G75
I."ENST00000367153";1_205388358_205388480-65=123=120//Q68G75
I."ENST00000290846";22_46739159_46739265-166=107=123//O75648
I."ENST00000381021";22_46751887_46751969-145=83=496//O75648
I."ENST00000461211";20_1434858_1434950-110=93=166//Q5RBG3
I."ENST00000476071";20_1436359_1436364-166=6=75//O35987
I."ENST00000449238";3_10331446_10331559-109=114=76//Q9UBU3
I."ENST00000437422";3_10331446_10331562-109=117=76//Q9UBU3
I."ENST00000521053";8_142444924_142445026-75=103=123//Q6ZUA9
I."ENST00000521053";8_142446786_142446962-156=177=144//Q6ZUA9
I."ENST00000584901";17_7477578_7477626-37=49=133//A5A6N4
I."ENST00000585024";17_7477584_7477626-37=43=133//A5A6N4
I."ENST00000583802";17_7478437_7478576-133=140=169//P29562
I."ENST00000581621";17_7479842_7480010-140=169=110//P29562
I."ENST00000578495";17_7479848_7480010-140=163=110//P29562
I."ENST00000262059";12_54110044_54110199-255=156=91//Q9P1Z2
I."ENST00000228307";12_120653363_120653464-171=102=136//P49023
I."ENST00000451211";21_48078657_48078832-165=176=651//P55345
I."ENST00000476226";3_49457644_49457775-79=132=81//P48728
I."ENST00000538431";9_130952608_130952723-72=116=175//Q9ULV3
I."ENST00000538431";9_130950142_130950213-230=72=116//Q9ULV3
I."ENST00000346956";2_1544366_1544495-100=130=306//P07202
I."ENST00000337415";2_1507720_1507851-171=132=100//P07202
I."ENST00000337415";2_1480858_1481376-207=519=259//P07202
I."ENST00000358591";2_88484847_88484998-126=152=729//Q86YJ6
I."ENST00000487867";15_65236849_65236944-99=96=190//Q495B1
I."ENST00000586044";17_33434007_33434141-96=135=82//O75771
I."ENST00000592545";17_33997876_33997917-193=42=147//Q08DS7
I."ENST00000536838";12_110234330_110234509-159=180=299//Q9HBA0
I."ENST00000536838";12_110238423_110238563-299=141=153//Q9HBA0
I."ENST00000592237";17_34160911_34160945-121=35=33//Q92804
I."ENST00000341947";6_33151922_33152101-60=180=63//P13942
I."ENST00000341947";6_33152769_33152831-180=63=78//P13942
I."ENST00000382659";Y_24058316_24058493-153=178=104//A6NEQ0
I."ENST00000425511";13_75894150_75894173-161=24=165//O60343
I."ENST00000431480";13_75880449_75880607-159=159=210//O60343
I."ENST00000338042";15_100185766_100185969-196=204=132//Q5REW7
I."ENST00000354269";7_128040871_128040945-207=75=102//P20839
I."ENST00000356298";19_51918078_51918362-94=285=258//Q96LC7
I."ENST00000437573";2_11595468_11595600-217=133=55//O75461
I."ENST00000587291";18_48327719_48327874-97=156=183//Q9BYG7
I."ENST00000394045";10_96322569_96322633-37=65=42//Q9NRZ9
I."ENST00000427635";10_69792535_69792626-131=92=222//Q5GLZ8
I."ENST00000354127";15_43924915_43925126-165=212=57//Q96P56
I."ENST00000321596";15_43924915_43925132-165=218=57//Q96P56
I."ENST00000518647";8_42146152_42146246-123=95=118//O14920
I."ENST00000367218";1_203671172_203671207-126=36=162//P23634
I."ENST00000367218";1_203693009_203693116-212=108=177//P23634
I."ENST00000361221";1_17961043_17961057-146=15=182//Q9HCE6
I."ENST00000298687";14_21491023_21491064-106=42=81//Q5RBN6
I."ENST00000539606";12_121598705_121598777-69=73=97//Q99572
I."ENST00000539606";12_121605291_121605427-130=137=91//Q99572
I."ENST00000443520";12_121605291_121605438-130=148=91//Q99572
I."ENST00000541022";12_121603861_121603990-81=130=91//Q99572
I."ENST00000585561";17_43161026_43161123-109=98=145//P31717
I."ENST00000466947";3_100515253_100515312-81=60=75//Q7Z7G0
I."ENST00000349953";2_206165254_206165460-45=207=238//Q8TEW8
I."ENST00000463937";3_52019868_52019962-105=95=77//Q03154
I."ENST00000312060";16_88776346_88776424-75=79=60//Q2VPK5
I."ENST00000437338";21_33867337_33867480-153=144=81//P58658
I."ENST00000375938";20_30507667_30507735-186=69=91//Q3SXZ7
I."ENST00000375938";20_30522495_30522691-59=197=114//Q3SXZ7
I."ENST00000525770";11_126144822_126144916-119=95=102//Q96CU9
I."ENST00000592943";19_885770_886201-106=432=170//Q9Y2X0
I."ENST00000586017";19_876974_877180-211=207=212//Q9Y2X0
I."ENST00000357043";3_50375336_50375454-105=119=286//Q9NS23
I."ENST00000590078";17_40876323_40876442-121=120=129//Q92800
I."ENST00000585893";17_40880843_40880970-129=128=91//Q92800
I."ENST00000443627";1_114506009_114506143-122=135=143//Q86Z02
I."ENST00000349097";9_96031122_96031232-120=111=833//Q9Y3S1
I."ENST00000349097";9_96018581_96018736-200=156=192//Q9Y3S1
I."ENST00000229771";6_35479425_35479583-150=159=91//O00294
I."ENST00000374505";1_24119498_24119529-104=32=66//Q9WTL7
I."ENST00000316853";16_87764158_87764250-160=93=137//Q8TBB5
I."ENST00000409743";2_220111379_220111598-190=220=134//O75716
I."ENST00000470870";6_27216626_27216725-167=100=130//Q9NQE7
I."ENST00000262915";1_44365213_44365399-96=187=147//P61132
I."ENST00000545417";1_44303891_44303983-43=93=95//P61132
I."ENST00000510563";1_6525148_6525282-168=135=121//Q93038
I."ENST00000348333";1_6523132_6523187-108=56=79//Q93038
I."ENST00000592745";6_170153413_170153468-39=56=169//Q5T6L9
I."ENST00000367609";6_142704897_142704980-69=84=86//Q86SQ4
I."ENST00000296932";6_142762045_142762090-153=46=2912//Q86SQ4
I."ENST00000563786";15_75182779_75182995-48=217=201//A5A6K3
I."ENST00000563422";15_75182868_75182995-48=128=201//A5A6K3
I."ENST00000563786";15_75185479_75185661-142=183=174//A5A6K3
I."ENST00000326652";19_55831759_55831826-128=68=60//A6NC51
I."ENST00000356764";1_202391748_202391866-131=119=160//O60237
I."ENST00000543115";12_7060627_7060683-272=57=123//P29350
I."ENST00000327757";2_28804935_28805000-81=66=101//Q6P1J6
I."ENST00000512308";4_1316169_1316291-204=123=77//Q5R532
I."ENST00000356290";12_69207334_69207408-85=75=156//Q00987
I."ENST00000356290";12_69230452_69230529-156=78=6158//Q00987
I."ENST00000486995";5_71622439_71622568-93=130=118//Q8WV60
I."ENST00000319822";3_142742817_142742860-212=44=105//Q5R7X2
I."ENST00000458225";3_35758790_35758849-38=60=230//Q9UBL0
I."ENST00000491990";9_131715052_131715125-55=74=85//Q5SRE5
I."ENST00000246912";17_40720488_40720577-37=90=107//Q9UH92
I."ENST00000341694";9_34616027_34616110-59=84=87//O75935
I."ENST00000383740";3_47040449_47040607-163=159=160//Q6ZNJ1
I."ENST00000292309";3_47048556_47048645-117=90=110//Q6ZNJ1
I."ENST00000548435";19_15789071_15789139-199=69=54//Q9HCS2
I."ENST00000426445";1_154313013_154313019-197=7=209//P98198
I."ENST00000538753";12_6837092_6837167-205=76=89//Q5R762
I."ENST00000397114";11_3023771_3023830-84=60=68//Q4R550
I."ENST00000478274";1_53493641_53493743-78=103=130//P22307
I."ENST00000534993";14_24464241_24464342-178=102=56//Q6PKH6
I."ENST00000455194";1_25701840_25701919-74=80=134//P18577
I."ENST00000399935";21_30503116_30503244-143=129=109//P57077
I."ENST00000412145";9_112184998_112185132-177=135=173//P26045
I."ENST00000483652";22_50316882_50316965-96=84=96//Q6UXH1
I."ENST00000542935";9_74349722_74349910-170=189=170//Q9UHN6
I."ENST00000545579";11_113570684_113570890-99=207=125//Q9H3S3
I."ENST00000357568";15_42682151_42682294-169=144=84//P20807
I."ENST00000357568";15_42700409_42700522-37=114=78//Q9GLG7
I."ENST00000240361";17_56658972_56659091-67=120=101//Q8IWB6
I."ENST00000307588";4_186382203_186382313-2113=111=66//Q8TBZ0
I."ENST00000374218";10_46611717_46611811-98=95=64//Q4JDL3
I."ENST00000395722";10_46611717_46611811-98=95=157//Q4JDL3
I."ENST00000299130";10_127519131_127519220-81=90=188//Q9P287
I."ENST00000457641";7_99754009_99754172-155=164=83//Q8WVR3
I."ENST00000316937";7_99755256_99755385-87=130=96//Q8WVR3
I."ENST00000543300";12_9833519_9833629-61=111=185//Q9UHP7
I."ENST00000547095";12_62959794_62959811-144=18=129//Q80TL7
I."ENST00000506928";5_74842835_74842982-24=148=120//Q9UBT6
I."ENST00000506928";5_74877863_74877948-240=86=125//Q9UBT6
I."ENST00000350302";8_382886_382935-104=50=93//Q4R372
I."ENST00000361311";1_9797556_9797612-158=57=163//O94985
I."ENST00000377288";1_9816539_9816568-196=30=123//O94985
I."ENST00000568914";15_52641015_52641023-101=9=228//Q99104
I."ENST00000342933";18_5398020_5398142-369=123=192//Q9Y2J2
I."ENST00000342933";18_5407700_5407735-192=36=54//Q9Y2J2
I."ENST00000575314";17_7534518_7534679-190=162=160//P04278
I."ENST00000576728";17_7535197_7535333-160=137=151//P04278
I."ENST00000575314";17_7536070_7536277-137=208=151//P04278
I."ENST00000466808";6_26423627_26423987-345=361=282//Q96KV6
I."ENST00000395473";17_25970551_25970646-111=96=36//O00182
I."ENST00000428554";1_43004844_43004981-126=138=170//Q5VVM6
I."ENST00000389413";7_158109511_158109624-103=114=51//Q92932
I."ENST00000409483";7_157903521_157903607-80=87=383//Q92932
I."ENST00000470209";X_153184286_153184507-102=222=163//P98171
I."ENST00000381793";4_40438458_40438664-212=207=1154//Q5R5P4
I."ENST00000525372";11_118897216_118897398-114=183=159//O43826
I."ENST00000525039";11_118897313_118897398-114=86=159//O43826
I."ENST00000394598";4_111553499_111553636-206=138=56//Q99697
I."ENST00000505330";3_130650866_130650982-111=117=90//Q5R5K5
I."ENST00000399205";21_37429682_37429775-96=94=158//Q9NVD3
I."ENST00000535777";X_40448238_40448368-121=131=132//Q5R563
I."ENST00000558067";15_56946929_56947040-119=112=63//Q6N043
I."ENST00000503890";5_41005239_41005418-147=180=115//Q7Z745
I."ENST00000372765";10_75599297_75599359-44=63=43//P11730
I."ENST00000528429";11_16117542_16117664-150=123=80//P35712
I."ENST00000330523";20_44314541_44314695-308=155=65//Q8IUB3
I."ENST00000520309";2_190608001_190608200-110=200=47//Q7Z5J8
I."ENST00000360584";1_44477233_44477394-157=162=279//P48067
I."ENST00000570546";16_10995895_10996041-45=147=144//P33076
I."ENST00000523991";12_69230452_69230529-156=78=41//Q00987
I."ENST00000366603";1_235377084_235377341-85=258=176//Q4LE39
I."ENST00000373655";1_32209794_32209958-165=165=84//Q8CGM1
I."ENST00000398547";1_32200784_32200882-172=99=86//O60241
I."ENST00000344505";20_31393144_31393213-86=70=1594//Q9UBC3
I."ENST00000544133";7_80292306_80292485-148=180=92//P16671
I."ENST00000538969";7_80300293_80300480-70=188=119//P16671
I."ENST00000377974";7_150715707_150716461-154=755=142//Q674R7
I."ENST00000534603";11_775066_775142-106=77=85//Q8NB37
I."ENST00000422757";7_100606196_100606311-181=116=65//Q9H195
I."ENST00000414964";7_100609539_100609712-163=174=92//Q02505
I."ENST00000354449";3_11354778_11354894-78=117=150//O95352
I."ENST00000346315";17_41243452_41246877-89=3426=77//P38398
I."ENST00000346315";17_41215891_41215968-41=78=172//Q6J6J0
I."ENST00000346315";17_41267743_41267796-78=54=99//Q9GKK8
I."ENST00000379245";2_36787928_36788008-76=81=269//P97578
I."ENST00000354356";7_103029776_103029871-107=96=78//Q9EPH0
I."ENST00000423416";7_103033366_103033513-114=148=83//P58743
I."ENST00000534127";11_8751497_8752756-137=1260=105//P78524
I."ENST00000476845";6_131897803_131897875-114=73=175//P05089
I."ENST00000351659";2_127825739_127825831-86=93=108//O08839
I."ENST00000316724";2_127815049_127815177-108=129=145//O00499
I."ENST00000259238";2_127815049_127815177-90=129=145//O00499
I."ENST00000555784";10_84744539_84744610-171=72=508//P56975
I."ENST00000400441";20_35769565_35769717-161=153=125//Q9H579
I."ENST00000566079";16_90015828_90015921-60=94=88//Q6ZN54
I."ENST00000453994";X_69644826_69644939-352=114=104//Q9HCC8
I."ENST00000318024";11_17538948_17539021-42=74=125//Q9Y6N9
I."ENST00000454978";Y_24323241_24323418-153=178=104//Q15415
I."ENST00000481858";Y_24315852_24315962-89=111=111//Q15415
I."ENST00000592489";17_34249581_34249679-86=99=123//Q8NG50
I."ENST00000591420";17_34247191_34247276-102=86=123//Q8NG50
I."ENST00000591420";17_34257080_34257259-123=180=96//Q8NG50
I."ENST00000391742";19_54871629_54871679-39=51=294//Q6GTX8
I."ENST00000394713";17_30372719_30372837-75=119=141//Q96QE4
I."ENST00000326270";17_60651706_60651771-153=66=67//Q86UE8
I."ENST00000510722";5_52322578_52322698-93=121=110//P17301
I."ENST00000513685";5_52374602_52374704-84=103=111//P17301
I."ENST00000513685";5_52368948_52369089-83=142=93//P17301
I."ENST00000378593";5_132262813_132262899-37=87=45//Q9UHB7
I."ENST00000565987";16_1836758_1836956-119=199=155//Q9Y5Y2
I."ENST00000343948";12_133196265_133196336-136=72=76//Q9UBL9
I."ENST00000371710";1_52221992_52222030-51=39=91//Q5R9W4
I."ENST00000262518";16_30732510_30732797-266=288=165//Q6ZRS2
I."ENST00000262518";16_30733884_30734069-165=186=267//Q6ZRS2
I."ENST00000378896";20_5953702_5953842-31=141=142//Q9UJA3
I."ENST00000445210";2_170425694_170425762-126=69=519//Q53R41
I."ENST00000449750";Y_27012989_27013060-72=72=72//Q9NR90
I."ENST00000449750";Y_27012989_27013060-72=72=72//Q9NR90
I."ENST00000449750";Y_27012989_27013060-72=72=72//Q9NR90
I."ENST00000382296";Y_27029911_27029982-72=72=72//Q86SG3
I."ENST00000359272";19_55399374_55399661-291=288=215//P24071
I."ENST00000391723";19_55399374_55399587-291=214=215//P24071
I."ENST00000356696";11_49207221_49207407-94=187=126//Q04609
I."ENST00000356696";11_49221807_49221993-102=187=106//Q04609
I."ENST00000380328";21_44117525_44117600-78=76=44//H2QL32
I."ENST00000497805";21_44151880_44152059-44=180=71//O76083
I."ENST00000398225";21_44163886_44163970-71=85=82//H2QL32
I."ENST00000398225";21_44151880_44152059-44=180=55//O76083
I."ENST00000486902";21_44108027_44108104-71=78=44//H2QL32
I."ENST00000398225";21_44152180_44152234-180=55=71//O76083
